,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_positive_score,tweet_neutral_score,tweet_negative_score
0,Fox News,BREAKING: Federal appeals court rules against Trump administration on DACA https://t.co/KHnrNvEKAM,Thu Nov 08 19:18:44 +0000 2018,0.0,0.0,1.0,0.0
1,Fox News,"Breaking News: Grand jury indicts captain of Missouri duck boat that sank in severe weather, killing 17 people https://t.co/ffOOgzRwdo",Thu Nov 08 17:02:25 +0000 2018,-0.6124,0.115,0.615,0.269
2,Fox News,"JUST IN: Police identify gunman who opened fire inside California bar, killing 12 https://t.co/PvITYr54AX",Thu Nov 08 15:14:45 +0000 2018,-0.7783,0.0,0.638,0.362
3,Fox News,JUST IN: Supreme Court Justice Ruth Bader Ginsburg fractures 3 ribs in fall https://t.co/9UM9hKTz4m,Thu Nov 08 14:22:51 +0000 2018,0.7906,0.389,0.611,0.0
4,Fox News,"Sgt. Ron Helus was fatally shot when he responded to the mass shooting on Nov. 7 at a bar in Thousand Oaks, Califor… https://t.co/vOH3OWPN5S",Thu Nov 08 13:43:25 +0000 2018,-0.6369,0.0,0.833,0.167
5,Fox News,Tom Homan: “It’s a tragedy each and every time.” https://t.co/dMV68Hfdz0 https://t.co/hrq51VJg7x,Thu Nov 08 13:35:03 +0000 2018,-0.6597,0.0,0.672,0.328
6,Fox News,"People walk away from the scene in Thousand Oaks, Calif. where a gunman opened fire Wednesday.… https://t.co/O3Oo2iLL8O",Thu Nov 08 13:22:27 +0000 2018,-0.34,0.0,0.862,0.138
7,Fox News,Teylor Whittler describes what she witnessed at California bar shooting https://t.co/dMV68Hfdz0 https://t.co/YznTZgQoYY,Thu Nov 08 12:56:20 +0000 2018,0.0,0.0,1.0,0.0
8,Fox News,"An FBI agent talks to a potential witness as they stand near the scene in Thousand Oaks, Calif. where a gunman open… https://t.co/7QOmXNTYM0",Thu Nov 08 12:37:05 +0000 2018,0.0,0.0,1.0,0.0
9,Fox News,Ventura County Fire Department Captain Stan Ziegler: “Hundreds of first responders responded initially to the scene… https://t.co/o4gArhmy4e,Thu Nov 08 12:25:14 +0000 2018,-0.34,0.0,0.87,0.13
10,Fox News,"People comfort each other as they stand near the scene in Thousand Oaks, Calif. where a gunman opened fire during a… https://t.co/wPI4XSpirC",Thu Nov 08 12:06:14 +0000 2018,0.0258,0.105,0.795,0.1
11,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/dMV68Hfdz0 https://t.co/WvjarPpwPV",Thu Nov 08 11:54:22 +0000 2018,-0.6486,0.0,0.736,0.264
12,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/GqI77wMuYZ",Thu Nov 08 11:38:17 +0000 2018,-0.6486,0.0,0.719,0.281
13,Fox News,"Sheriff's deputies speak to potential witnesses as they stand near the scene in Thousand Oaks, Calif., where a gunm… https://t.co/jPE8k9oQHr",Thu Nov 08 11:32:26 +0000 2018,0.0,0.0,1.0,0.0
14,Fox News,13 dead in country music bar including gunman https://t.co/PvITYr54AX https://t.co/UURBIatqte,Thu Nov 08 11:26:46 +0000 2018,-0.6486,0.0,0.677,0.323
15,Fox News,"12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/PvITYr54AX https://t.co/o8Nf8WuJcZ",Thu Nov 08 11:18:08 +0000 2018,-0.6486,0.0,0.719,0.281
16,Fox News,"Breaking News: At least 12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/u6sVxdzHq5",Thu Nov 08 11:13:32 +0000 2018,-0.6486,0.0,0.765,0.235
17,Fox News,.@CarleyShimkus is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/cQ9uxkjUIK,Thu Nov 08 11:12:14 +0000 2018,0.0,0.0,1.0,0.0
18,Fox News,"Authorities deliver an update on the shooting in Thousand Oaks, California. (Courtesy: KABC) https://t.co/BtGxxIfNx5",Thu Nov 08 10:53:33 +0000 2018,0.0,0.0,1.0,0.0
19,Fox News,Pastor Dimas Salaberrios on California shooting: “My immediate thoughts go out to the families. Because what’s happ… https://t.co/iowf5VOL2l,Thu Nov 08 10:36:12 +0000 2018,0.0,0.0,1.0,0.0
20,CNN,Roger Stone isn't ruling out cooperating with special counsel Robert Mueller. https://t.co/1nGLt99ZOz https://t.co/iHEpaOkE22,Sun Jan 27 21:31:04 +0000 2019,0.4019,0.184,0.816,0.0
21,CNN,Cuba has opened its first new church since the revolution 60 years ago. https://t.co/yLE2v51snQ https://t.co/dDwAG8GdL4,Sun Jan 27 21:00:13 +0000 2019,0.0,0.0,1.0,0.0
22,CNN,"Two days after a dam ruptured at a mine in Brazil, killing dozens of people, residents are being evacuated near a s… https://t.co/tJd6Qd8Wvw",Sun Jan 27 20:33:09 +0000 2019,-0.6597,0.0,0.812,0.188
23,CNN,The 2020 Democratic field is the most diverse ever. | Analysis by CNN's Harry Enten https://t.co/2sGCTPcFpc https://t.co/AVIPzf5CQX,Sun Jan 27 20:02:07 +0000 2019,0.0,0.0,1.0,0.0
24,CNN,"Venezuelan President Nicolas Maduro says a US-led ""coup"" is behind the political upheaval in his country.… https://t.co/uCVIh5rAoL",Sun Jan 27 19:30:07 +0000 2019,0.0,0.0,1.0,0.0
25,CNN,“We believe in border security and we have offered how we think it can be done … I don’t trust him very much becaus… https://t.co/EVRe9jUXLe,Sun Jan 27 19:18:14 +0000 2019,0.6908,0.213,0.787,0.0
26,CNN,"Jerome Corsi, a longtime friend and associate of Roger Stone, says he is willing to ""affirm"" that the information a… https://t.co/gNfEdewVAn",Sun Jan 27 19:02:04 +0000 2019,0.4939,0.144,0.856,0.0
27,CNN,"Former Democratic Colorado Gov. John Hickenlooper: ""I would probably take the bet"" I will run for president in 2020… https://t.co/drAnIiDz9D",Sun Jan 27 18:30:09 +0000 2019,0.0,0.0,1.0,0.0
28,CNN,Novak Djokovic crushes Rafael Nadal for a record seventh Australian Open title and 15th major.… https://t.co/y0Qa32DPNb,Sun Jan 27 18:03:05 +0000 2019,-0.4404,0.0,0.828,0.172
29,CNN,2020 Democratic presidential candidate Julián Castro says Starbucks CEO Howard Schultz running for president as an… https://t.co/dWH43DOg5r,Sun Jan 27 17:33:04 +0000 2019,0.0,0.0,1.0,0.0
30,CNN,Triplets separated at birth. Reunited as adults. A miracle of random chance? Or - was something more deliberate at… https://t.co/eFVofRFy9L,Sun Jan 27 16:59:15 +0000 2019,0.7003,0.266,0.734,0.0
31,CNN,"President Trump said more than 6,000(!) untrue things in 2018 | Analysis by @CillizzaCNN https://t.co/DVNPmGnzPD https://t.co/K40gk7Buai",Sun Jan 27 16:00:12 +0000 2019,0.0,0.0,1.0,0.0
32,CNN,"Amid laughter, Dell founder Michael Dell explains why he wouldn’t support Rep. Ocasio-Cortez’s call for a higher ma… https://t.co/yGe8uJDmOb",Sun Jan 27 15:31:01 +0000 2019,0.7096,0.269,0.731,0.0
33,CNN,Acting White House chief of staff Mick Mulvaney says that President Trump will use his executive authority to get f… https://t.co/Jh6Ie5odjJ,Sun Jan 27 15:30:08 +0000 2019,0.0772,0.061,0.939,0.0
34,CNN,"CNN’s @FareedZakaria: ""With no one actively shoring up the international system, the great question remains: In a w… https://t.co/8tWGyVpgFT",Sun Jan 27 15:23:11 +0000 2019,0.6369,0.271,0.636,0.093
35,CNN,"“I don’t think it’s a concession whatsoever,” former GOP Sen. @RickSantorum says about President Trump accepting no… https://t.co/ggjod23c1e",Sun Jan 27 15:11:02 +0000 2019,0.3818,0.14,0.86,0.0
36,CNN,"Next year, the US will export more energy than it imports. That hasn't happened since 1953. https://t.co/IkGbjnYGYp",Sun Jan 27 15:01:02 +0000 2019,0.3384,0.13,0.87,0.0
37,CNN,"“I believe that if we were to build that wall, that it would change the notion of America from the Statue of Libert… https://t.co/FDOSOAHP7B",Sun Jan 27 14:59:22 +0000 2019,0.0,0.0,1.0,0.0
38,CNN,"Jerome Corsi: “I believed, figured out that Assange had Podesta’s emails ... and it turned out that I was right.""… https://t.co/w03t3YmDOG",Sun Jan 27 14:47:24 +0000 2019,0.0,0.0,1.0,0.0
39,CNN,This race isn't for the faint of heart https://t.co/ihomb5GIgg https://t.co/E31RCgjf10,Sun Jan 27 14:31:00 +0000 2019,0.0,0.0,1.0,0.0
40,BBC News (World),Venezuela crisis: White House 'will respond to threats against diplomats' https://t.co/s7uQ7YJ6gP,Sun Jan 27 20:28:58 +0000 2019,-0.7845,0.0,0.566,0.434
41,BBC News (World),Dad's comfort doll 'helping him fly for 43 years' https://t.co/3hhAOIdDhk,Sun Jan 27 19:41:27 +0000 2019,0.5719,0.37,0.63,0.0
42,BBC News (World),Louisiana shooting: Police arrest suspect of five killed https://t.co/UzBGYspk7o,Sun Jan 27 19:21:13 +0000 2019,-0.8442,0.0,0.397,0.603
